"","PROTID","NN1","NN1.1","NN1.2","NN2","NN2.1","NN2.2","NN3","NN3.1","NN3.2","NO1","NO1.1","NO1.2","NO2","NO2.1","NO2.2","NO3","NO3.1","NO3.2","ON1","ON1.1","ON1.2","ON2","ON2.1","ON3","ON3.1","ON3.2","OO1","OO1.1","OO1.2","OO2","OO2.1","OO2.2","OO3","OO3.1","OO3.2","Protein"
"1","m.11536",0,0,0,0,0,0,6.6804,3.4314,3.2803,0,0,3.0825,0,0,0,3.3514,3.2517,3.2681,3.628,0,0,3.1203,0,0,0,0,0,0,4.4644,4.2389,4.2485,0,4.2022,4.1713,8.5156,"Peroxisomal acyl-coenzyme A oxidase 1 (m.11536)"
"2","m.15241",31.2372,26.9611,18.0251,22.6094,14.4118,10.5354,16.0269,10.9763,13.1162,26.1626,25.3601,12.3253,21.3939,21.5051,13.1192,13.4006,10.4015,10.454,5.8025,12.8897,13.0343,19.9621,19.7295,26.6135,24.9624,24.9708,15.8701,19.4677,17.8509,23.7286,20.3851,22.8546,16.8022,20.0144,17.0248,"Acyl-coenzyme A oxidase 3 peroxisomal (m.15241)"
"3","m.17984",22.3793,55.1879,24.5977,60.7428,73.7506,43.1308,32.8062,64.5953,37.5875,68.4294,57.1019,42.8897,53.1762,30.2636,24.1689,35.6594,31.937,26.7484,44.5407,72.5577,83.3767,51.0767,66.3471,77.8235,110.7095,93.7089,55.2251,46.491,51.1558,38.1631,45.2045,46.7822,51.59,44.3824,48.7884,"Very long-chain specific acyl-CoA dehydrogenase mitochondrial (m.17984)"
"4","m.20764",0,0,0,0,0,0,13.6479,0,0,14.8527,0,0,0,0,0,0,0,0,29.6474,16.4646,16.6493,12.7492,14.4007,0,0,0,0,0,18.2414,0,17.3592,16.6818,0,0,0,"m.20764"
"5","m.21013",0,0,0,0,0,0,0,0,0,0,0,0,2.5725,0,0,0,0,0,0,0,0,0,2.3723,0,0,0,0,0,0,0,0,0,0,0,0,"Acyl-CoA dehydrogenase family member 11 (m.21013)"
"6","m.22274",23.3209,35.2248,17.9428,29.5393,21.519,19.6637,11.9653,28.6813,27.4183,34.7242,26.5065,3.6807,22.8173,28.0965,15.6712,32.0145,27.1793,15.6094,38.9884,33.6811,34.0588,37.258,33.6675,56.7685,74.5452,74.5704,37.9144,38.7577,42.6465,35.4304,30.438,39.0004,35.1236,34.8652,25.4206,"Medium-chain specific acyl-CoA dehydrogenase mitochondrial (m.22274)"
"7","m.24130",0,0,0,0,0,0,0,0,0,15.4565,13.4842,13.1069,0,0,0,14.2504,0,0,15.4263,0,0,0,14.9861,0,0,0,16.8765,17.2519,0,18.0238,18.0648,0,0,0,0,"Acyl-coenzyme A oxidase (m.24130)"
"8","m.27714",0,5.2106,0,0,4.4564,0,0,4.2426,4.0558,8.9889,0,0,0,0,0,0,0,0,0,0,5.0381,3.8579,0,0,0,0,4.9074,0,5.5198,10.4819,10.5058,5.0479,10.3912,5.1574,10.5288,"Isovaleryl-CoA dehydrogenase mitochondrial (m.27714)"
"9","m.31300",48.2958,26.0528,9.2895,21.8477,22.2821,44.7941,12.3896,12.7279,20.279,22.4722,19.6046,7.6224,23.6265,33.249,8.1134,20.7186,12.0613,12.1222,22.4283,19.9288,25.1904,27.0054,17.4307,23.5126,19.2972,25.7382,19.6294,20.066,33.1191,31.4458,26.2645,25.2396,31.1735,25.7868,21.0576,"Short-chain specific acyl-CoA dehydrogenase mitochondrial (m.31300)"
"11","m.552",78.5735,78.2509,69.754,92.9627,89.2339,56.0589,56.8527,69.0241,40.6059,89.9952,53.9765,33.3877,100.5313,41.6104,45.6921,67.4152,30.189,45.5119,84.2056,93.5269,100.8809,48.281,81.8031,73.5639,112.7,144.9489,85.9805,75.3366,89.8036,91.8254,78.8867,75.8085,97.5326,70.9978,85.6478,"m.552"
"12","m.5670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2838,0,0,0,0,0,0,0,0,0,0,"Glutaryl-CoA dehydrogenase mitochondrial (m.5670)"
"13","m.650",0,7.9569,0,6.6726,10.2079,0,0,0,0,6.8634,8.9813,2.91,3.6079,3.1734,0,6.3278,0,0,0,7.6082,7.6935,5.8913,6.6545,0,4.9114,4.913,3.747,7.6606,8.4292,8.0033,4.0108,7.7086,0,3.9378,12.0587,"Acyl-coenzyme A oxidase 2 peroxisomal (m.650)"
"14","m.6724",24.1765,29.3441,20.3449,65.6207,66.9254,40.7701,54.2685,71.6789,55.8332,112.494,98.1391,76.3146,118.2721,88.4222,86.3074,67.4152,65.4095,60.6825,87.0125,71.704,78.8132,96.5621,106.344,69.8857,68.425,48.3163,79.839,84.7537,75.9877,49.1922,52.5912,72.6498,71.5239,61.3162,46.118,"Trifunctional enzyme subunit alpha mitochondrial (m.6724)"
